Date,Volume
1998-06,15899310000
1998-07,17597450000
1998-08,15746140000
1998-09,15884050000
1998-10,19397870000
1998-11,17697660000
1998-12,19075670000
1999-01,20526060000
1999-02,17439250000
1999-03,21196320000
1999-04,23426400000
1999-05,18519390000
1999-06,19607990000
1999-07,20915660000
1999-08,20246710000
1999-09,21333490000
1999-10,22684970000
1999-11,28754050000
1999-12,31236210000
2000-01,33421060000
2000-02,35644700000
2000-03,43200490000
2000-04,35147970000
2000-05,30831980000
2000-06,33352380000
2000-07,30916110000
2000-08,33222920000
2000-09,34727330000
2000-10,44129010000
2000-11,38181910000
2000-12,44347190000
2001-01,49399780000
2001-02,36428040000
2001-03,44719260000
2001-04,42649960000
2001-05,41465750000
2001-06,36577380000
2001-07,32812530000
2001-08,32437350000
2001-09,30829450000
2001-10,43885890000
2001-11,38324730000
2001-12,35539380000
2002-01,39095980000
2002-02,34022690000
2002-03,34619370000
2002-04,38648510000
2002-05,39802810000
2002-06,36638230000
2002-07,45237670000
2002-08,31490760000
2002-09,29029680000
2002-10,38730160000
2002-11,35673650000
2002-12,29122630000
2003-01,30898030000
2003-02,24374040000
2003-03,31136990000
2003-04,30761430000
2003-05,38423310000
2003-06,41170990000
2003-07,38212570000
2003-08,30294060000
2003-09,39917180000
2003-10,41226870000
2003-11,34049930000
2003-12,35470880000
2004-01,45972690000
2004-02,35916840000
2004-03,42497500000
2004-04,40153120000
2004-05,32652780000
2004-06,32602090000
2004-07,35711700000
2004-08,30823660000
2004-09,31295080000
2004-10,35975380000
2004-11,37928210000
2004-12,44379920000
2005-01,43135970000
2005-02,36633150000
2005-03,39780380000
2005-04,37517930000
2005-05,34223410000
2005-06,36702320000
2005-07,32702310000
2005-08,34238710000
2005-09,34790080000
2005-10,36500900000
2005-11,35854200000
2005-12,34343260000
2006-01,41781780000
2006-02,37103890000
2006-03,47567350000
2006-04,39227480000
2006-05,45923780000
2006-06,43418010000
2006-07,36405330000
2006-08,38177580000
2006-09,37304950000
2006-10,42714580000
2006-11,38943340000
2006-12,35073670000
2007-01,42688490000
2007-02,39700560000
2007-03,43563900000
2007-04,39717000000
2007-05,44252460000
2007-06,45340310000
2007-07,45107360000
2007-08,52126030000
2007-09,35257250000
2007-10,48751620000
2007-11,50214790000
2007-12,37753390000
2008-01,55211960000
2008-02,45767570000
2008-03,44966440000
2008-04,42726250000
2008-05,42783110000
2008-06,45968100000
2008-07,50672460000
2008-08,39482890000
2008-09,51722940000
2008-10,62537120000
2008-11,41933210000
2008-12,39619890000
2009-01,39995600000
2009-02,42380620000
2009-03,49480930000
2009-04,48683640000
2009-05,47352030000
2009-06,51881250000
2009-07,47084360000
2009-08,44011670000
2009-09,49652910000
2009-10,50489640000
2009-11,38877300000
2009-12,39269070000
2010-01,45625830000
2010-02,42835360000
2010-03,54955550000
2010-04,54528540000
2010-05,57203120000
2010-06,48633730000
2010-07,43910370000
2010-08,41794240000
2010-09,41586870000
2010-10,41539760000
2010-11,40893560000
2010-12,36306890000
2011-01,40221760000
2011-02,39225340000
2011-03,45049990000
2011-04,38024600000
2011-05,42067110000
2011-06,42570710000
2011-07,37282980000
2011-08,56977870000
2011-09,42996470000
2011-10,42787830000
2011-11,38397210000
2011-12,33177490000
2012-01,35325900000
2012-02,37728460000
2012-03,36686310000
2012-04,33793990000
2012-05,40115930000
2012-06,37458650000
2012-07,34686680000
2012-08,35708950000
2012-09,33719730000
2012-10,36367020000
2012-11,36894240000
2012-12,33522490000
2013-01,39027620000
2013-02,35765430000
2013-03,33749180000
2013-04,36904330000
2013-05,39144080000
2013-06,37528250000
2013-07,35889520000
2013-08,32934650000
2013-09,34997740000
2013-10,43017190000
2013-11,35818470000
2013-12,37139280000
2014-01,45227610000
2014-02,39978180000
2014-03,46796180000
2014-04,44391220000
2014-05,39290130000
2014-06,40249370000
2014-07,39536410000
2014-08,33417300000
2014-09,39631130000
2014-10,50136190000
2014-11,32967990000
2014-12,39587090000
2015-01,38719030000
2015-02,35773090000
2015-03,41204240000
2015-04,37409760000
2015-05,35994540000
2015-06,41338820000
2015-07,40633420000
2015-08,43408300000
2015-09,41503920000
2015-10,42348240000
2015-11,36834860000
2015-12,40617940000
2016-01,44877130000
2016-02,43108650000
2016-03,40738880000
2016-04,38014300000
2016-05,38803240000
2016-06,44213900000
2016-07,36050040000
2016-08,38754780000
2016-09,40054600000
2016-10,34644850000
2016-11,41870720000
2016-12,38559260000
2017-01,36027970000
2017-02,36709560000
2017-03,43937720000
2017-04,33793200000
2017-05,42285390000
2017-06,48689910000
2017-07,36063120000
2017-08,41236800000
2017-09,38177120000
2017-10,41421370000
2017-11,41870380000
2017-12,38573170000
2018-01,44405890000
2018-02,43791970000
2018-03,48355130000
2018-04,42932190000
2018-05,45405220000
2018-06,48305960000
2018-07,38678490000
2018-08,45900880000
2018-09,44545790000
2018-10,61400960000
2018-11,48560650000
2018-12,48808340000
2019-01,49199040000
2019-02,42304540000
2019-03,49145540000
2019-04,43162800000
2019-05,47405100000
2019-06,44505410000
2019-07,39238360000
2019-08,46090570000
2019-09,41462650000
2019-10,43976360000
2019-11,41581990000
2019-12,45940880000
2020-01,52456350000
2020-02,53633950000
2020-03,96874040000
2020-04,78697140000
2020-05,76347800000
2020-06,111455270000
2020-07,94321170000
2020-08,78408230000
2020-09,82059450000
2020-10,77827120000
2020-11,90598610000
2020-12,111707090000
2021-01,138076160000
